ID,nsal1,nsal2,nsal3,Hour1,Hour2,Hour3
p01 ,0,0,0,22.9,24,24
p02,0,0,0,23,23.7,23.7
p03,0,0,0,22.5,23.5,23
p04,0,0,NA,22.25,23.25,NA
p05,0,0,NA,22,23,NA
p06,NA,0,0,NA,22.75,21.75
p07,NA,0,1,NA,22.5,22
p08,NA,3,3,NA,22.25,22.25
p09,NA,0,3,NA,22,22.5
M01,0,NA,0,21.76666667,NA,22.5
M02,0,NA,0,22,NA,21.5
M03,0,NA,0,22.15,NA,21.83333333
M04,0,NA,0,22.28333333,NA,22
M05,0,NA,0,22.41666667,NA,22.11666667
M06,0,1,NA,22.66666667,22.58333333,NA
M07,0,0,NA,22.95,23.08333333,NA
M08,2,1,NA,23.25,22.41666667,NA
M09,2,0,NA,23.66666667,22.71666667,NA
M10,1,0,NA,24.83333333,23.46666667,NA
F01,0,0,1,21.83333333,24.33333333,24.16666667
F02,4,NA,2,22.5,NA,24.01666667
F03,2,1,2,22.98333333,16.78333333,23.75
F04,4,0,6,23.23333333,23.83333333,22.51666667
F05,0,0,NA,23.63333333,23.21666667,NA
F06,0,0,1,23.81666667,23.05,23
F07,3,1,NA,24,22.75,NA
F08,NA,1,9,NA,23.6,22
F09,NA,6,3,NA,23,23.36666667